Raw ERP/Planning Export - intentionally messy,,,,,,,,
,,,,,,,,
Date,Dept,Account,Vendor / Customer,Amount EUR,Source,Owner,Status,Manual note
2026-01-25,COGS,Materials,Johnsons Supply,"6,966",Pos,M. Chen,,Check sign
2026-04-01,Sales,CRM / RevOps tools,Salesforce / Outreach,"3,160",manual Entry,,late invoice,
01/3/26,COGS,Materials,Walmart,"7,661",Check,,,Check sign
2026-01-25,Marketing,Google Ads,Google / LinkedIn,"1,011",Pos,Erikfinance ops,accrual,Ask owner
01/2/26,Mktg,Paid media,Google / LinkedIn,"5,357",cash,TBD,late invoice,Check sign
2026-01-25,R&D,Cloud hosting,AWS / Datadog,"(4,888)",manual Entry,M. Chen,late invoice,One-off item
2026-03-28,Marketing,Events & webinars,Various,"4,383",Check,Alex - FP&A,Posted,Vendor invoice late
01-Jan-26,Marketing,Google Ads,Google / LinkedIn,"1,065",cash,Alex - FP&A,needs mapping,
15 Apr-26,Sales,Sales commission,Payroll,779,Check,TBD,needs mapping,Timing issue
01/3/26,G&A,Legal fees,Buchalter,"2,277",manual Entry,Andres,manual adj,Ask owner
01-Jan-26,R&D,Cloud hosting,AWS / Datadog,"5,182",ERP,Erikfinance ops,needs mapping,Map to GL 6100
2026-01-25,Sales,Payroll - sales,Payroll,"4,466",cash,M. Chen,late invoice,Map to GL 6100
15 Feb-26,R&D,Cloud hosting,AWS / Datadog,"4,526",Pos,Erikfinance ops,,Vendor invoice late
2026-01-25,COGS,Cloud hosting,AWS / Datadog,"2,728",Pos,TBD,,One-off item
15 Apr-26,Services,Prof services,Implementation clients,"6,998",manual Entry,Alex - FP&A,accrual,Timing issue
01/2/26,Sales,Payroll - sales,Payroll,"3,745",cash,,late invoice,Map to GL 6100
2026-03-28,COGS,Materials,Electric house,"6,099",Check,Alex - FP&A,,Vendor invoice late
15 Feb-26,Revenue,Revenue,Retail Customer,"5,179",ERP,M. Chen,late invoice,Map to GL 6100
2026-02-26,Marketing,Customer appr.,Gift hamper,"1,312",manual Entry,M. Chen,manual adj,Check sign
15 Feb-26,R&D,Cloud hosting,AWS / Datadog,"4,678",Pos,Alex - FP&A,needs mapping,
2026-01-25,Mktg,Customer appr.,Gift hamper,(567),Check,,,Check sign
25 Mar-26,R&D,AI automation,n8n,"6,224",cash,M. Chen,,
2026-02-26,COGS,Cloud hosting,AWS / Datadog,"7,816",Check,,late invoice,
2026-02-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"9,688",cash,TBD,,Timing issue
2026-02-26,Services,Support tools,Zendesk / Gainsight,"9,442",ERP,Erikfinance ops,accrual,Vendor invoice late
01/1/26,Marketing,Google Ads,Google / LinkedIn,"1,865",Check,Andres,manual adj,One-off item
15 Apr-26,COGS,Materials,Electric house,"5,341",Pos,Alex - FP&A,late invoice,
15 Apr-26,Sales,Sales commission,Payroll,"1,542",cash,Alex - FP&A,late invoice,Ask owner
01/4/26,Revenue,Subscr. revenue,Retail Customer,"6,937",cash,TBD,Posted,Timing issue
2026-04-01,COGS,Payroll - eng,Payroll,"7,230",ERP,TBD,,Check sign
01/2/26,Revenue,Revenue,Retail Customer,"4,954",ERP,Erikfinance ops,needs mapping,Timing issue
15 Feb-26,COGS,Payroll - eng,Payroll,"5,923",ERP,,accrual,Timing issue
01/4/26,Marketing,Paid media,Google / LinkedIn,"(3,504)",manual Entry,Andres,late invoice,One-off item
01/1/26,Revenue,Service,Corp. clients,"1,238",Pos,TBD,late invoice,Ask owner
01/1/26,R&D,AI automation,n8n,"(8,299)",manual Entry,Alex - FP&A,accrual,Timing issue
01-Jan-26,Marketing,Customer appr.,Amazon gift c.,"7,943",Check,TBD,posted,Map to GL 6100
2026-02-26,Services,Prof services,Implementation clients,"7,672",Pos,Andres,needs mapping,Vendor invoice late
2026-02-26,G&A,Legal fees,Europa Law firm,(313),ERP,M. Chen,manual adj,Map to GL 6100
2026-01-25,Mktg,Customer appr.,Amazon gift c.,"9,324",Pos,Alex - FP&A,needs mapping,Map to GL 6100
01/3/26,COGS,Cloud hosting,AWS / Datadog,"7,725",ERP,TBD,needs mapping,
01/2/26,Services,Prof services,Implementation clients,"5,706",manual Entry,Alex - FP&A,late invoice,Check sign
01-Jan-26,Services,Support tools,Zendesk / Gainsight,"9,429",ERP,,late invoice,One-off item
25 Mar-26,COGS,Cloud hosting,AWS / Datadog,"5,412",Check,Alex - FP&A,manual adj,Check sign
2026-03-28,Marketing,Google Ads,Google / LinkedIn,"4,312",cash,Erikfinance ops,accrual,Ask owner
01/2/26,Services,Support tools,Zendesk / Gainsight,"(7,252)",ERP,TBD,accrual,Ask owner
15 Apr-26,COGS,Cloud hosting,AWS / Datadog,"8,284",manual Entry,M. Chen,needs mapping,Vendor invoice late
2026-03-28,Sales,CRM / RevOps tools,Salesforce / Outreach,"7,723",cash,M. Chen,manual adj,One-off item
01/1/26,R&D,Payroll - eng,Payroll,"9,921",cash,Andres,needs mapping,
01/1/26,G&A,Accounting fees,Jason CPA,"5,098",cash,TBD,Posted,
01/4/26,Sales,Payroll - sales,Payroll,"(9,150)",ERP,Alex - FP&A,accrual,One-off item
15 Feb-26,Sales,Payroll - sales,Payroll,"1,500",Check,Andres,,Timing issue
01-Jan-26,R&D,Payroll - eng,Payroll,"(1,440)",manual Entry,Alex - FP&A,late invoice,One-off item
2026-01-25,Sales,Sales commission,Payroll,"6,311",Check,TBD,,Ask owner
01-Jan-26,COGS,Materials,Electric house,170,ERP,,needs mapping,Timing issue
01/2/26,G&A,Office rent,Landlord,"5,044",manual Entry,Erikfinance ops,Posted,Timing issue
15 Feb-26,Revenue,Product sales,Corp. clients,284,ERP,M. Chen,posted,One-off item
01/4/26,R&D,Payroll - eng,Payroll,"4,951",Pos,TBD,posted,
2026-02-26,Marketing,Events & webinars,Various,"3,769",Check,M. Chen,posted,
2026-03-28,Sales,Sales commission,Payroll,"5,305",Pos,TBD,manual adj,Map to GL 6100
2026-04-01,COGS,Cloud hosting,AWS / Datadog,"8,829",Pos,Andres,late invoice,Check sign
01/1/26,Mktg,Customer appr.,Gift hamper,"9,917",manual Entry,M. Chen,posted,
01/3/26,Sales,Payroll - sales,Payroll,"2,042",Check,Andres,accrual,
2026-02-26,Mktg,Customer appr.,Soccer Ticket,"4,021",cash,M. Chen,Posted,Map to GL 6100
01-Jan-26,G&A,Legal fees,Buchalter,"8,638",ERP,Alex - FP&A,Posted,Vendor invoice late
25 Mar-26,Revenue,Service,Corp. clients,"6,879",Check,Erikfinance ops,manual adj,Timing issue
01/4/26,Revenue,Revenue,Corp. clients,"2,231",manual Entry,TBD,Posted,One-off item
01/1/26,Sales,Payroll - sales,Payroll,"(5,161)",Pos,TBD,accrual,Ask owner
01/1/26,Mktg,Events & webinars,Various,"9,788",cash,Andres,Posted,Map to GL 6100
01/1/26,Services,Support tools,Zendesk / Gainsight,"2,307",ERP,TBD,posted,Vendor invoice late
01/4/26,Revenue,Revenue,Retail Customer,"6,523",Check,TBD,needs mapping,Ask owner
01/4/26,COGS,Materials,Johnsons Supply,"1,580",Check,M. Chen,needs mapping,One-off item
2026-03-28,Marketing,Events & webinars,Various,"5,323",manual Entry,M. Chen,posted,One-off item
2026-02-26,Marketing,Customer appr.,Soccer Ticket,"8,992",Check,Erikfinance ops,late invoice,
01-Jan-26,Services,Prof services,Implementation clients,"2,821",ERP,Alex - FP&A,manual adj,Vendor invoice late
2026-02-26,Marketing,Customer appr.,Amazon gift c.,"8,914",Pos,Andres,Posted,Map to GL 6100
01/4/26,Mktg,Events & webinars,Various,"2,551",ERP,,manual adj,Map to GL 6100
01/4/26,Marketing,Paid media,Google / LinkedIn,"2,455",manual Entry,Andres,,Timing issue
2026-02-26,G&A,Accounting fees,Brandon,"2,577",Pos,,late invoice,One-off item
25 Mar-26,Marketing,Paid media,Google / LinkedIn,"(7,674)",Pos,M. Chen,manual adj,Map to GL 6100
2026-03-28,Sales,Sales commission,Payroll,"(5,182)",cash,,posted,Map to GL 6100
01/3/26,Services,Prof services,Implementation clients,"5,010",manual Entry,Andres,manual adj,
2026-04-01,R&D,Cloud hosting,AWS / Datadog,"1,244",Pos,,late invoice,Check sign
01/1/26,Sales,Payroll - sales,Payroll,"5,460",manual Entry,M. Chen,accrual,Timing issue
01-Jan-26,Sales,Sales commission,Payroll,"8,675",Pos,,posted,Timing issue
15 Feb-26,Services,Prof services,Implementation clients,"8,562",Pos,M. Chen,,
25 Mar-26,G&A,Legal fees,Buchalter,"1,889",manual Entry,Erikfinance ops,,Timing issue
25 Mar-26,Mktg,Events & webinars,Various,"8,884",ERP,M. Chen,needs mapping,Timing issue
01/3/26,COGS,Payroll - eng,Payroll,"5,603",Pos,TBD,posted,Check sign
01/1/26,COGS,Materials,Home Depot,"5,502",Check,,posted,Ask owner
15 Apr-26,Revenue,Service,Retail Customer,"6,718",Check,Alex - FP&A,accrual,Ask owner
01/3/26,Mktg,Paid media,Google / LinkedIn,"9,889",cash,,manual adj,
2026-01-25,Services,Support tools,Zendesk / Gainsight,"6,505",Pos,Alex - FP&A,accrual,Ask owner
2026-04-01,Mktg,Customer appr.,Amazon gift c.,970,Pos,Alex - FP&A,accrual,Ask owner
25 Mar-26,Sales,Sales commission,Payroll,"2,764",Check,,posted,Check sign
15 Apr-26,Mktg,Customer appr.,Soccer Ticket,"7,509",manual Entry,,manual adj,Check sign
01-Jan-26,Services,Support tools,Zendesk / Gainsight,(706),Pos,,Posted,Ask owner
01/1/26,Sales,Payroll - sales,Payroll,"1,319",cash,Alex - FP&A,posted,Map to GL 6100
2026-04-01,R&D,Cloud hosting,AWS / Datadog,"5,886",cash,Alex - FP&A,posted,Ask owner
01/1/26,G&A,Legal fees,Buchalter,"(9,096)",cash,Andres,manual adj,Vendor invoice late
01/3/26,G&A,Legal fees,Buchalter,"2,305",Pos,Andres,posted,Ask owner
01/3/26,Revenue,Service,Retail Customer,"4,903",manual Entry,TBD,late invoice,
01/4/26,Mktg,Customer appr.,Amazon gift c.,"3,537",Pos,,posted,Timing issue
01/1/26,Sales,Payroll - sales,Payroll,"(9,444)",Pos,,late invoice,Check sign
2026-03-28,Services,Support tools,Zendesk / Gainsight,"7,503",manual Entry,,accrual,
15 Apr-26,COGS,Cloud hosting,AWS / Datadog,"8,940",ERP,Alex - FP&A,manual adj,Check sign
01-Jan-26,G&A,Office rent,Landlord,"7,168",Pos,Erikfinance ops,needs mapping,Timing issue
01-Jan-26,COGS,Materials,Home Depot,"7,197",manual Entry,Erikfinance ops,,Vendor invoice late
01/1/26,Marketing,Customer appr.,Soccer Ticket,"7,066",manual Entry,Alex - FP&A,manual adj,Map to GL 6100
01/4/26,Revenue,Revenue,Retail Customer,"1,914",manual Entry,M. Chen,posted,Map to GL 6100
01/2/26,Revenue,Service,Retail Customer,290,ERP,Alex - FP&A,needs mapping,Map to GL 6100
01-Jan-26,Marketing,Google Ads,Google / LinkedIn,"6,697",Pos,Andres,needs mapping,Ask owner
15 Apr-26,R&D,Payroll - eng,Payroll,"3,157",manual Entry,Alex - FP&A,,Ask owner
2026-01-25,Mktg,Paid media,Google / LinkedIn,"4,342",Check,M. Chen,late invoice,One-off item
01/1/26,COGS,Materials,Walmart,"5,195",Check,M. Chen,manual adj,One-off item
2026-02-26,R&D,Cloud hosting,AWS / Datadog,"(1,248)",ERP,M. Chen,,Check sign
15 Feb-26,Sales,Sales commission,Payroll,"8,115",Check,TBD,accrual,One-off item
01/1/26,COGS,Materials,Walmart,"9,751",Check,Erikfinance ops,posted,Vendor invoice late
01-Jan-26,Revenue,Product sales,Retail Customer,"2,676",manual Entry,Alex - FP&A,posted,Map to GL 6100
2026-01-25,Revenue,Revenue,Retail Customer,"5,956",ERP,Alex - FP&A,,
2026-02-26,COGS,Payroll - eng,Payroll,"9,202",manual Entry,Andres,late invoice,Vendor invoice late
2026-04-01,G&A,Legal fees,Buchalter,11,ERP,TBD,late invoice,Ask owner
01/3/26,Services,Support tools,Zendesk / Gainsight,"(6,438)",Pos,M. Chen,posted,Map to GL 6100
01/3/26,COGS,Materials,Johnsons Supply,"6,024",cash,Andres,,Check sign
25 Mar-26,Marketing,Google Ads,Google / LinkedIn,"6,831",manual Entry,Alex - FP&A,manual adj,One-off item
25 Mar-26,Mktg,Customer appr.,Gift hamper,"6,634",Check,Andres,needs mapping,Check sign
25 Mar-26,G&A,Legal fees,Buchalter,"(6,412)",ERP,Alex - FP&A,,Map to GL 6100
25 Mar-26,COGS,Materials,Home Depot,"6,817",manual Entry,TBD,needs mapping,Vendor invoice late
01/2/26,Marketing,Events & webinars,Various,"(1,624)",manual Entry,Alex - FP&A,posted,One-off item
2026-03-28,G&A,Legal fees,Europa Law firm,"3,547",ERP,Andres,late invoice,Vendor invoice late
