Raw ERP/Planning Export - intentionally messy,,,,,,,,
,,,,,,,,
Date,Dept,Account,Vendor / Customer,Amount EUR,Source,Owner,Status,Manual note
10 Jul-25,G&A,Office rent,Landlord,"8,181",manual Entry,finance ops,manual adj,One-off item
04/25/26,Revenue,Product sales,Corp. clients,"3,862",manual Entry,M. Chen,needs mapping,Ask owner
04-May-26,Mktg,Paid media,Google / LinkedIn,"5,029",cash,Erik,accrual,Map to GL 6100
17-Feb-26,Revenue,Product sales,Retail Customer,"2,380",manual Entry,Erik,manual adj,One-off item
08/28/25,Revenue,Service,Corp. clients,"8,821",Pos,Alex - FP&A,,One-off item
2026-06-11,Mktg,Customer appr.,Gift hamper,"1,537",Pos,Erik,posted,Map to GL 6100
2025-05-19,COGS,Payroll - eng,Payroll,"2,211",Check,M. Chen,posted,Check sign
31 May-26,Revenue,Subscr. revenue,Corp. clients,"2,044",cash,,,Timing issue
05-Apr-26,R&D,AI automation,n8n,"4,077",cash,,posted,
03/30/26,G&A,Office rent,Landlord,522,ERP,finance ops,,One-off item
07-Aug-25,Revenue,Revenue,Retail Customer,"8,715",manual Entry,Alex - FP&A,,Timing issue
02-Jun-25,Marketing,Google Ads,Google / LinkedIn,"3,282",Check,Alex - FP&A,,Timing issue
2025-02-02,COGS,Materials,Johnsons Supply,"5,549",Check,finance ops,accrual,Map to GL 6100
13-Sep-25,R&D,Payroll - eng,Payroll,"(9,381)",manual Entry,M. Chen,Posted,Timing issue
10 Dec-25,R&D,Cloud hosting,AWS / Datadog,"8,983",cash,Erik,accrual,Ask owner
17-Jan-25,R&D,Payroll - eng,Payroll,"(7,812)",manual Entry,Alex - FP&A,late invoice,One-off item
09/30/25,Services,Prof services,Implementation clients,"(6,829)",manual Entry,TBD,needs mapping,
05/03/26,R&D,Payroll - eng,Payroll,"7,111",ERP,finance ops,,
02/20/25,Mktg,Events & webinars,Various,"4,123",manual Entry,Alex - FP&A,accrual,Map to GL 6100
23-Apr-26,Sales,Sales commission,Payroll,"1,174",cash,Alex - FP&A,late invoice,Timing issue
2025-04-08,Sales,Payroll - sales,Payroll,918,ERP,TBD,Posted,Timing issue
05/15/25,COGS,Payroll - eng,Payroll,"9,438",Check,,posted,Ask owner
2026-02-14,Revenue,Subscr. revenue,Retail Customer,"(1,682)",cash,,manual adj,Map to GL 6100
2025-12-04,R&D,Cloud hosting,AWS / Datadog,"9,092",cash,M. Chen,manual adj,Vendor invoice late
10 Mar-26,R&D,AI automation,n8n,"9,307",manual Entry,Erik,posted,Check sign
03 Apr-26,Mktg,Events & webinars,Various,"3,084",manual Entry,TBD,accrual,Timing issue
24-Apr-25,R&D,Payroll - eng,Payroll,"5,973",Check,M. Chen,late invoice,Check sign
2025-04-02,R&D,AI automation,n8n,"1,253",ERP,finance ops,needs mapping,
11 Dec-25,R&D,Cloud hosting,AWS / Datadog,"5,718",cash,Andres,manual adj,Check sign
15-Apr-26,Services,Support tools,Zendesk / Gainsight,"5,750",cash,TBD,posted,Check sign
11/06/25,Services,Prof services,Implementation clients,"4,546",cash,Alex - FP&A,needs mapping,Timing issue
13-Sep-25,COGS,Cloud hosting,AWS / Datadog,"5,905",cash,finance ops,needs mapping,Timing issue
05-Jun-25,Marketing,Google Ads,Google / LinkedIn,357,ERP,TBD,posted,
09/19/25,Mktg,Customer appr.,Soccer Ticket,799,Check,,Posted,
25 Feb-26,R&D,Cloud hosting,AWS / Datadog,"3,985",manual Entry,,Posted,Timing issue
2026-02-27,Marketing,Google Ads,Google / LinkedIn,"4,969",cash,TBD,,Check sign
30-Jul-25,Marketing,Paid media,Google / LinkedIn,"(6,808)",Pos,Alex - FP&A,accrual,Map to GL 6100
03-Dec-25,R&D,AI automation,n8n,"3,909",Pos,M. Chen,Posted,One-off item
01/27/26,COGS,Materials,Walmart,(560),manual Entry,Erik,Posted,Map to GL 6100
2025-02-04,G&A,Office rent,Landlord,"1,601",Pos,M. Chen,accrual,Timing issue
13 Aug-25,R&D,AI automation,n8n,"3,454",ERP,Andres,manual adj,Check sign
11-Mar-25,Mktg,Customer appr.,Soccer Ticket,"6,536",Check,M. Chen,late invoice,Vendor invoice late
05-May-26,COGS,Materials,Walmart,901,ERP,Alex - FP&A,manual adj,Timing issue
08/30/25,Marketing,Google Ads,Google / LinkedIn,132,ERP,TBD,needs mapping,Timing issue
20-Mar-26,Sales,Sales commission,Payroll,"6,088",Check,Alex - FP&A,Posted,Vendor invoice late
2025-06-18,Mktg,Customer appr.,Soccer Ticket,"2,184",Pos,finance ops,,One-off item
07-Mar-26,Mktg,Paid media,Google / LinkedIn,"(3,163)",Check,TBD,,
2026-07-02,Revenue,Subscr. revenue,Retail Customer,"2,351",Pos,M. Chen,,Ask owner
2025-08-08,R&D,Payroll - eng,Payroll,"8,265",ERP,Andres,accrual,Timing issue
20 Jul-25,R&D,Cloud hosting,AWS / Datadog,"4,173",Check,Andres,Posted,Timing issue
31-Mar-25,Sales,Sales commission,Payroll,"6,609",Pos,Erik,needs mapping,Timing issue
16 Nov-25,G&A,Accounting fees,Jason CPA,383,Check,TBD,accrual,Map to GL 6100
2025-05-02,G&A,Legal fees,Europa Law firm,"(1,667)",ERP,TBD,posted,
08/28/25,G&A,Accounting fees,Jason CPA,"6,447",Pos,,late invoice,Check sign
05-Feb-25,G&A,Accounting fees,Brandon,250,Pos,Andres,Posted,Map to GL 6100
2026-03-25,Mktg,Paid media,Google / LinkedIn,"4,221",Check,TBD,Posted,Ask owner
21-Apr-26,G&A,Accounting fees,Brandon,894,ERP,Erik,manual adj,Ask owner
11-Feb-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"4,118",ERP,Erik,accrual,One-off item
24 Sep-25,Services,Prof services,Implementation clients,"3,140",Pos,,,Timing issue
2026-03-25,R&D,AI automation,n8n,"(9,866)",Pos,M. Chen,posted,Vendor invoice late
17-Jan-25,Marketing,Events & webinars,Various,"(3,848)",ERP,M. Chen,accrual,Timing issue
12 Mar-26,Marketing,Google Ads,Google / LinkedIn,"5,831",manual Entry,,accrual,Timing issue
16 Apr-26,Revenue,Service,Retail Customer,"4,060",Check,finance ops,posted,
13-Sep-25,Revenue,Service,Retail Customer,"(2,903)",Check,finance ops,posted,Ask owner
2026-03-05,G&A,Accounting fees,Jason CPA,"(5,918)",cash,,Posted,Vendor invoice late
2025-06-29,Marketing,Customer appr.,Gift hamper,"6,341",Check,Alex - FP&A,posted,Map to GL 6100
2025-06-29,COGS,Payroll - eng,Payroll,"7,764",manual Entry,,needs mapping,Map to GL 6100
04-Jul-26,Services,Prof services,Implementation clients,"1,898",manual Entry,Erik,manual adj,Map to GL 6100
02/12/25,Marketing,Paid media,Google / LinkedIn,49,Check,TBD,posted,One-off item
23-Feb-26,R&D,AI automation,n8n,"7,218",Pos,TBD,manual adj,Ask owner
2025-05-20,Revenue,Revenue,Retail Customer,"1,201",manual Entry,Erik,Posted,Map to GL 6100
11-Sep-25,Mktg,Customer appr.,Gift hamper,"9,503",manual Entry,Erik,accrual,Ask owner
19 Feb-25,Marketing,Paid media,Google / LinkedIn,"5,634",Pos,M. Chen,Posted,Ask owner
03 Jan-26,Marketing,Customer appr.,Gift hamper,(939),cash,,accrual,Check sign
07 Jul-25,Revenue,Service,Retail Customer,"2,731",Check,Andres,Posted,Check sign
07 Jul-25,G&A,Office rent,Landlord,"3,110",Pos,TBD,posted,
01/19/26,Services,Support tools,Zendesk / Gainsight,"(9,997)",Check,Alex - FP&A,late invoice,One-off item
25-Apr-25,R&D,Cloud hosting,AWS / Datadog,"(8,274)",Pos,Alex - FP&A,,
04-Oct-25,R&D,AI automation,n8n,"5,501",Check,Alex - FP&A,late invoice,Ask owner
16 Apr-26,G&A,Office rent,Landlord,"8,883",Pos,,posted,Timing issue
03/29/25,Sales,Payroll - sales,Payroll,"9,169",cash,Andres,accrual,Check sign
09/05/25,COGS,Cloud hosting,AWS / Datadog,"6,283",Pos,finance ops,accrual,Vendor invoice late
2025-05-20,G&A,Accounting fees,Jason CPA,11,ERP,M. Chen,manual adj,Ask owner
03 Apr-26,Mktg,Customer appr.,Soccer Ticket,"(2,716)",cash,TBD,late invoice,Ask owner
06/11/25,Services,Prof services,Implementation clients,"(4,422)",manual Entry,TBD,late invoice,
10/17/25,Services,Prof services,Implementation clients,908,cash,Erik,posted,Vendor invoice late
2025-07-12,Mktg,Paid media,Google / LinkedIn,(662),Pos,TBD,accrual,Map to GL 6100
31-Aug-25,R&D,AI automation,n8n,657,Check,Andres,,Timing issue
2025-01-04,COGS,Cloud hosting,AWS / Datadog,"(4,027)",Pos,Andres,needs mapping,One-off item
23-Sep-25,R&D,AI automation,n8n,"6,122",Check,,posted,One-off item
2025-11-23,Revenue,Service,Corp. clients,"4,267",Check,Andres,needs mapping,One-off item
13-Sep-25,G&A,Accounting fees,Brandon,"6,013",ERP,Alex - FP&A,needs mapping,Timing issue
07 Mar-25,R&D,Payroll - eng,Payroll,"2,508",Pos,M. Chen,posted,Check sign
03 May-25,Mktg,Customer appr.,Soccer Ticket,"6,473",cash,finance ops,,One-off item
2025-12-20,COGS,Payroll - eng,Payroll,"7,429",manual Entry,Andres,posted,One-off item
30-Jun-25,Services,Support tools,Zendesk / Gainsight,"(9,761)",manual Entry,TBD,needs mapping,
06 Jan-26,G&A,Office rent,Landlord,"3,670",ERP,Alex - FP&A,late invoice,
13 Aug-25,Revenue,Service,Corp. clients,"9,875",Pos,TBD,manual adj,One-off item
04 Mar-25,Marketing,Paid media,Google / LinkedIn,"2,323",Check,M. Chen,manual adj,Vendor invoice late
2025-12-14,Revenue,Revenue,Corp. clients,"4,500",ERP,M. Chen,Posted,Check sign
22 Mar-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,519",ERP,M. Chen,accrual,Timing issue
2025-02-14,Mktg,Events & webinars,Various,"1,686",manual Entry,TBD,posted,Map to GL 6100
03 Mar-26,Revenue,Subscr. revenue,Retail Customer,"7,500",Pos,TBD,late invoice,Map to GL 6100
01/27/26,Mktg,Customer appr.,Amazon gift c.,"7,853",Check,Erik,,One-off item
11-Mar-25,COGS,Materials,Johnsons Supply,"(2,286)",ERP,M. Chen,accrual,Check sign
22 Mar-26,G&A,Office rent,Landlord,"3,002",Check,,accrual,Check sign
2025-01-15,Sales,Payroll - sales,Payroll,"8,177",cash,TBD,accrual,Timing issue
06 Feb-25,Services,Prof services,Implementation clients,"9,764",Pos,finance ops,posted,Ask owner
2025-06-04,Marketing,Google Ads,Google / LinkedIn,"8,839",cash,TBD,manual adj,Vendor invoice late
28-Jul-25,Sales,Sales commission,Payroll,"6,035",Check,TBD,late invoice,Vendor invoice late
10 Jan-25,Mktg,Events & webinars,Various,519,cash,Andres,,
12/02/25,G&A,Office rent,Landlord,"7,240",cash,Alex - FP&A,accrual,Ask owner
19 Apr-26,Services,Prof services,Implementation clients,"(8,331)",manual Entry,TBD,needs mapping,Timing issue
2025-01-16,COGS,Materials,Electric house,"6,794",Check,M. Chen,accrual,Check sign
2025-12-30,Marketing,Paid media,Google / LinkedIn,"6,811",ERP,Alex - FP&A,,Timing issue
01/26/26,Services,Prof services,Implementation clients,"7,748",ERP,,Posted,Timing issue
2026-03-05,G&A,Legal fees,Europa Law firm,"6,676",Check,Erik,needs mapping,One-off item
27 Oct-25,R&D,Cloud hosting,AWS / Datadog,"9,406",Check,Erik,manual adj,One-off item
09 Jun-26,R&D,Payroll - eng,Payroll,"7,871",Pos,TBD,late invoice,Ask owner
29-Nov-25,G&A,Legal fees,Buchalter,"3,156",ERP,Alex - FP&A,accrual,Vendor invoice late
06/13/26,Mktg,Events & webinars,Various,"3,929",ERP,Alex - FP&A,Posted,Timing issue
2026-03-21,G&A,Accounting fees,Jason CPA,"8,209",cash,Andres,late invoice,One-off item
08-May-25,G&A,Accounting fees,Jason CPA,"(4,919)",manual Entry,finance ops,,Check sign
18 May-26,G&A,Legal fees,Europa Law firm,"8,832",Pos,Alex - FP&A,,Timing issue
2026-01-20,G&A,Accounting fees,Jason CPA,"7,598",cash,,,Ask owner
09/19/25,Marketing,Customer appr.,Gift hamper,"3,488",ERP,Andres,manual adj,One-off item
27 Mar-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"(2,227)",Check,TBD,Posted,Map to GL 6100
07/09/26,G&A,Office rent,Landlord,"7,051",manual Entry,finance ops,manual adj,Vendor invoice late
08-Dec-25,Revenue,Product sales,Corp. clients,"3,093",ERP,finance ops,,
05/08/26,Sales,CRM / RevOps tools,Salesforce / Outreach,"2,696",Check,finance ops,late invoice,Ask owner
02/10/25,COGS,Cloud hosting,AWS / Datadog,"7,237",manual Entry,Andres,needs mapping,Vendor invoice late
09/10/25,G&A,Office rent,Landlord,"4,845",ERP,TBD,accrual,
21 Dec-25,Sales,Payroll - sales,Payroll,"5,855",Check,M. Chen,Posted,Ask owner
2025-10-15,Mktg,Paid media,Google / LinkedIn,547,ERP,finance ops,accrual,One-off item
2025-06-13,G&A,Accounting fees,Brandon,"(2,080)",Pos,finance ops,,Ask owner
18 Aug-25,Revenue,Product sales,Corp. clients,"9,509",cash,Alex - FP&A,late invoice,
11-Jan-26,G&A,Office rent,Landlord,"3,426",ERP,Alex - FP&A,manual adj,Vendor invoice late
06/28/25,Marketing,Customer appr.,Amazon gift c.,"2,362",ERP,TBD,Posted,Map to GL 6100
23 Jun-26,COGS,Cloud hosting,AWS / Datadog,"2,440",cash,TBD,accrual,One-off item
2026-02-14,Revenue,Service,Corp. clients,"9,873",ERP,Erik,,Check sign
2025-11-30,R&D,AI automation,n8n,"4,858",manual Entry,Alex - FP&A,,Ask owner
04-May-26,Services,Support tools,Zendesk / Gainsight,"6,745",Check,M. Chen,late invoice,One-off item
25-May-26,R&D,Cloud hosting,AWS / Datadog,"7,092",Check,Alex - FP&A,posted,Timing issue
15-Apr-26,COGS,Payroll - eng,Payroll,"2,531",Check,TBD,Posted,
13 Aug-25,Marketing,Events & webinars,Various,"(2,688)",ERP,Erik,,Check sign
05/29/26,Services,Support tools,Zendesk / Gainsight,"5,062",ERP,Andres,accrual,Timing issue
06/01/26,G&A,Office rent,Landlord,"4,349",cash,M. Chen,posted,Check sign
05/26/25,Mktg,Events & webinars,Various,"9,635",manual Entry,Erik,Posted,Vendor invoice late
23-Mar-26,Marketing,Customer appr.,Amazon gift c.,"8,297",manual Entry,finance ops,accrual,Map to GL 6100
02 Apr-26,G&A,Office rent,Landlord,"9,467",cash,Alex - FP&A,,
07-Mar-26,G&A,Office rent,Landlord,"5,751",Pos,Alex - FP&A,manual adj,
03/05/25,Sales,Payroll - sales,Payroll,"(1,885)",ERP,TBD,accrual,One-off item
28 Jun-26,R&D,Cloud hosting,AWS / Datadog,"1,591",ERP,TBD,late invoice,Vendor invoice late
27 Oct-25,Revenue,Subscr. revenue,Retail Customer,"(5,364)",ERP,M. Chen,,Ask owner
2025-07-26,COGS,Materials,Walmart,"9,682",cash,,Posted,One-off item
18 Jan-25,COGS,Cloud hosting,AWS / Datadog,"(8,343)",Check,Erik,needs mapping,Map to GL 6100
03/22/25,Services,Prof services,Implementation clients,"8,720",Check,finance ops,late invoice,Map to GL 6100
25-Jan-26,Services,Prof services,Implementation clients,"4,639",ERP,Andres,needs mapping,
11/06/25,Marketing,Events & webinars,Various,"4,483",Pos,M. Chen,,
06 Oct-25,Marketing,Customer appr.,Soccer Ticket,"6,943",Check,TBD,,One-off item
03/31/26,COGS,Payroll - eng,Payroll,"7,536",Check,M. Chen,,
2025-01-04,Sales,Sales commission,Payroll,659,Check,finance ops,Posted,Check sign
01/27/26,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,999",Pos,,late invoice,
11/11/25,Revenue,Revenue,Retail Customer,"(3,810)",manual Entry,,accrual,
09-Sep-25,Mktg,Customer appr.,Soccer Ticket,"6,065",ERP,Alex - FP&A,accrual,One-off item
2026-01-09,Mktg,Customer appr.,Soccer Ticket,"6,058",Check,Erik,,
19-Apr-25,Marketing,Customer appr.,Amazon gift c.,(314),manual Entry,TBD,posted,Timing issue
16 Mar-25,Mktg,Customer appr.,Amazon gift c.,(944),cash,Alex - FP&A,needs mapping,One-off item
13 Jan-25,R&D,AI automation,n8n,"(3,018)",ERP,TBD,needs mapping,Check sign
03/25/25,COGS,Cloud hosting,AWS / Datadog,"3,657",Check,finance ops,Posted,Map to GL 6100
29 Oct-25,Mktg,Paid media,Google / LinkedIn,"1,314",cash,Erik,late invoice,One-off item
16 Mar-25,G&A,Legal fees,Buchalter,"8,180",ERP,M. Chen,late invoice,One-off item
07 Mar-25,Services,Support tools,Zendesk / Gainsight,(464),ERP,Alex - FP&A,manual adj,Check sign
07/01/26,G&A,Office rent,Landlord,"3,866",cash,TBD,late invoice,Vendor invoice late
2026-02-14,Mktg,Customer appr.,Gift hamper,"7,834",Check,Andres,posted,
06-Jun-26,Sales,Payroll - sales,Payroll,"3,861",Pos,Alex - FP&A,manual adj,Vendor invoice late
2026-02-14,G&A,Legal fees,Buchalter,"(5,389)",cash,Alex - FP&A,accrual,Check sign
04-Jul-26,Mktg,Customer appr.,Soccer Ticket,"5,347",cash,M. Chen,posted,Map to GL 6100
2026-03-06,Sales,Payroll - sales,Payroll,"4,185",manual Entry,M. Chen,,Map to GL 6100
26-Feb-25,Services,Prof services,Implementation clients,"1,111",manual Entry,finance ops,late invoice,
2025-12-20,Sales,Payroll - sales,Payroll,"(7,402)",manual Entry,M. Chen,Posted,
2026-05-28,Sales,CRM / RevOps tools,Salesforce / Outreach,"2,567",Pos,Alex - FP&A,,Vendor invoice late
10 Oct-25,Revenue,Subscr. revenue,Corp. clients,"7,056",Check,TBD,posted,Ask owner
27 May-25,COGS,Cloud hosting,AWS / Datadog,"(3,183)",manual Entry,,posted,Map to GL 6100
26-Jun-26,COGS,Materials,Johnsons Supply,"6,885",manual Entry,Alex - FP&A,posted,Ask owner
08/05/25,Marketing,Google Ads,Google / LinkedIn,"9,730",manual Entry,finance ops,accrual,Vendor invoice late
06/10/26,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,231",manual Entry,finance ops,accrual,Check sign
2025-07-13,R&D,Cloud hosting,AWS / Datadog,"3,152",ERP,Andres,needs mapping,Timing issue
14 Jun-26,Sales,Sales commission,Payroll,"6,182",ERP,finance ops,,Vendor invoice late
13 Jan-25,Mktg,Customer appr.,Amazon gift c.,"5,514",ERP,Alex - FP&A,accrual,Timing issue
06/13/26,Revenue,Revenue,Corp. clients,"(6,025)",Pos,finance ops,,Timing issue
09 Apr-26,COGS,Cloud hosting,AWS / Datadog,"6,422",cash,Alex - FP&A,needs mapping,Map to GL 6100
15 Jan-26,G&A,Accounting fees,Jason CPA,"4,956",Pos,,accrual,Ask owner
20 Mar-25,Marketing,Customer appr.,Amazon gift c.,"2,955",Pos,TBD,Posted,Check sign
2025-11-07,Services,Support tools,Zendesk / Gainsight,536,ERP,M. Chen,needs mapping,Vendor invoice late
11-Jan-26,G&A,Office rent,Landlord,"(2,737)",ERP,finance ops,late invoice,Timing issue
10 Dec-25,Revenue,Revenue,Retail Customer,"9,932",ERP,Erik,late invoice,Check sign
02-Jun-25,R&D,AI automation,n8n,"6,538",cash,TBD,accrual,Timing issue
10 Mar-26,Services,Support tools,Zendesk / Gainsight,"(8,589)",cash,TBD,manual adj,Map to GL 6100
17-Feb-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"(6,396)",Check,Alex - FP&A,,One-off item
16-Dec-25,G&A,Accounting fees,Jason CPA,"1,219",Check,Erik,accrual,Check sign
2025-12-30,R&D,Cloud hosting,AWS / Datadog,868,Check,finance ops,needs mapping,One-off item
01/05/26,G&A,Office rent,Landlord,"(3,516)",ERP,TBD,Posted,Timing issue
2025-04-10,Marketing,Google Ads,Google / LinkedIn,(440),cash,TBD,manual adj,Vendor invoice late
01/19/26,Mktg,Paid media,Google / LinkedIn,"5,992",Pos,Erik,posted,Check sign
03 Jan-26,Marketing,Customer appr.,Amazon gift c.,"9,271",Check,Alex - FP&A,Posted,Map to GL 6100
16 Apr-26,R&D,Cloud hosting,AWS / Datadog,"2,983",ERP,Erik,Posted,Map to GL 6100
01/31/25,R&D,Payroll - eng,Payroll,"4,703",manual Entry,Alex - FP&A,Posted,Ask owner
21-Jun-26,Mktg,Customer appr.,Gift hamper,"8,719",Check,Alex - FP&A,accrual,Map to GL 6100
02/27/25,Revenue,Revenue,Retail Customer,"7,221",ERP,finance ops,late invoice,Ask owner
2026-05-28,G&A,Accounting fees,Jason CPA,"9,045",Check,,manual adj,
2026-06-17,Services,Support tools,Zendesk / Gainsight,"2,531",Pos,,late invoice,Ask owner
15 Jan-26,COGS,Payroll - eng,Payroll,"(8,812)",Pos,M. Chen,,Timing issue
2025-11-07,Revenue,Service,Retail Customer,"5,903",manual Entry,Andres,late invoice,One-off item
06/01/25,Marketing,Customer appr.,Amazon gift c.,"(5,141)",cash,M. Chen,manual adj,Check sign
02/07/25,Revenue,Revenue,Retail Customer,"4,460",ERP,Andres,posted,Timing issue
2025-04-21,Services,Prof services,Implementation clients,"3,674",manual Entry,M. Chen,manual adj,Vendor invoice late
06/15/26,Mktg,Events & webinars,Various,(241),ERP,Alex - FP&A,,Vendor invoice late
16 Nov-25,Services,Prof services,Implementation clients,"9,488",cash,Andres,needs mapping,One-off item
2025-10-15,Revenue,Service,Corp. clients,"6,077",manual Entry,M. Chen,needs mapping,Ask owner
2026-03-08,Mktg,Paid media,Google / LinkedIn,"2,218",Check,M. Chen,accrual,Ask owner
2025-09-14,R&D,AI automation,n8n,541,Check,TBD,Posted,Map to GL 6100
03 Jan-26,Revenue,Product sales,Retail Customer,"7,691",Pos,Alex - FP&A,manual adj,Ask owner
03 Feb-25,Revenue,Service,Corp. clients,"8,742",manual Entry,,,Check sign
2025-07-12,Mktg,Events & webinars,Various,"7,345",manual Entry,TBD,,Map to GL 6100
04 Mar-25,Services,Prof services,Implementation clients,"(8,740)",cash,M. Chen,late invoice,Check sign
05/13/26,Marketing,Paid media,Google / LinkedIn,"8,716",Check,M. Chen,late invoice,One-off item
2026-04-18,COGS,Materials,Home Depot,130,cash,Alex - FP&A,needs mapping,Ask owner
20 Jul-25,Services,Prof services,Implementation clients,"3,287",cash,finance ops,late invoice,Check sign
27 May-25,Mktg,Customer appr.,Gift hamper,"(8,054)",manual Entry,M. Chen,Posted,Timing issue
27 Mar-25,Revenue,Product sales,Retail Customer,"(8,245)",Pos,M. Chen,,One-off item
31-May-25,Revenue,Product sales,Corp. clients,"4,048",Check,,posted,Check sign
2025-08-20,G&A,Office rent,Landlord,"3,044",cash,Erik,manual adj,Timing issue
2025-12-29,Marketing,Google Ads,Google / LinkedIn,"5,993",cash,Alex - FP&A,posted,
05/29/25,Revenue,Revenue,Retail Customer,"3,729",Pos,M. Chen,needs mapping,Ask owner
2025-03-19,Sales,CRM / RevOps tools,Salesforce / Outreach,"(8,681)",manual Entry,,needs mapping,Ask owner
10 Mar-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"3,843",Check,TBD,Posted,Ask owner
03/25/25,COGS,Payroll - eng,Payroll,"4,095",cash,Andres,,One-off item
16 Apr-26,Services,Support tools,Zendesk / Gainsight,"8,799",cash,,posted,Check sign
24 Apr-26,COGS,Payroll - eng,Payroll,"(1,370)",cash,finance ops,posted,Vendor invoice late
2026-03-11,COGS,Materials,Home Depot,"8,322",manual Entry,,posted,Vendor invoice late
17-Feb-26,Sales,Sales commission,Payroll,"9,002",ERP,TBD,accrual,Check sign
2026-01-17,Revenue,Service,Retail Customer,"8,570",cash,Andres,late invoice,Map to GL 6100
05-May-26,Revenue,Revenue,Corp. clients,"2,490",manual Entry,Andres,posted,Map to GL 6100
